sheet                          before    after  comment% before  after
  admin-media.css                70704    48987           59.4%   41.3%
  admin-shell.css                63785    39357           67.8%   47.8%
  app.css                        61361    38872           67.3%   48.4%
  admin-posts.css                33473    26378           52.6%   39.9%
  admin-media-later.css          28157    19615           56.0%   36.8%
  admin-editor.css               26255    22358           41.5%   31.2%
  katex.generated.css            25202    23521           12.6%    6.3%
  prose.css                      12593     9056           64.6%   50.8%
  publications.css                7968     6783           41.6%   31.4%
  playground.css                  6895     6691           28.7%   26.6%
  post-enhancements.css           6399     5398           38.6%   27.2%
  admin-editor-feedback.css       5595     4242           49.4%   33.2%
  reset.css                       5486     4028           41.5%   20.3%
  projects.css                    5387     4779           47.8%   41.1%
  chrome-nav.css                  5138     3939           65.3%   54.7%
  palette-dialog.css              4544     4201           15.4%    8.5%
  shell.css                       3833     2870           54.6%   39.3%
  public-chrome.css               3214     2272           76.9%   67.4%
  post-shell.css                  3125     3047           39.1%   37.6%
  blog-index.css                  3052     2411           39.9%   23.9%
  motion-print.css                2925     2263           56.0%   43.1%
  katex-overrides.css             2408      727           95.3%   84.5%
  admin.css                       2366      539           88.5%   49.5%
  search-page.css                 2164     2164            6.7%    6.7%
  admin-history.css               2093     1592           42.2%   24.1%
  ask.css                         1654     1654            9.9%    9.9%
  search-facets.css               1467     1467            0.0%    0.0%
  blog-search.css                 1293     1014           56.1%   44.0%
  skip-link.css                   1246      943           73.4%   64.9%
  search-trigger.css              1237      869           72.4%   60.6%
  page-shell.css                  1139     1071           52.2%   49.2%
  blog-index-extras.css            730      730            0.0%    0.0%
TOTAL 402888 -> 293838 bytes; comment 218889 -> 109839; share 54.3% -> 37.4%
